model,accuracy,roc_auc_macro_ovr,ece,auc_Actin disruptors,auc_Aurora kinase inhibitors,auc_DMSO,auc_DNA damage,auc_DNA replication,auc_Eg5 inhibitors,auc_Microtubule destabilizers,auc_Microtubule stabilizers,auc_Protein degradation,auc_Protein synthesis,acc_ci_low,acc_ci_high,auc_ci_low,auc_ci_high,ece_ci_low,ece_ci_high
logistic_regression,0.6,0.8989712297468803,0.06597957410016685,0.894880174291939,0.9520025429116339,0.9372650375939849,0.9743589743589743,0.9570552147239263,0.9236883942766296,0.8260869565217391,0.900610902255639,0.7341935483870968,0.8895705521472393,0.5210606060606061,0.6787878787878788,0.8740220619742872,0.9228069615478012,0.05447032434793659,0.15007290346324245
random_forest,0.5878787878787879,0.9238569195442643,0.09240404040404043,0.9000544662309368,0.9469167196439925,0.9014332706766918,0.9757834757834758,0.9294478527607362,0.9085850556438791,0.8735909822866343,0.9082471804511278,0.9006451612903226,0.9938650306748467,0.5212121212121212,0.6666666666666666,0.9009343715553443,0.9428622782158868,0.06798888888888889,0.17452457912457917
cnn_scratch,0.4121212121212121,0.786482878437737,0.08037929932276407,0.7549019607843137,0.8286713286713288,0.8270676691729323,0.7991452991452991,0.8159509202453987,0.8358505564387918,0.7316156736446592,0.8519736842105263,0.6129032258064516,0.8067484662576687,0.34530303030303033,0.4727272727272727,0.7583971701974744,0.8194673104916442,0.042269803393970844,0.1486254789477045
resnet18_scratch,0.18181818181818182,0.6678489628699683,0.6508284162391316,0.9242919389978214,0.7469802924348379,0.2918233082706767,0.18376068376068377,0.9355828220858896,0.6335453100158983,0.7826086956521738,0.9125939849624061,0.7212903225806452,0.5460122699386503,0.13318181818181818,0.23636363636363636,0.6438796413975497,0.6989721802985704,0.607023283599904,0.719052015542984
resnet18_pretrained,0.9393939393939394,0.9957835264591335,0.04217175498153223,1.0,1.0,0.994125939849624,0.9978632478632479,0.9877300613496933,0.9976152623211446,0.9895330112721418,1.0,0.9909677419354839,1.0,0.902878787878788,0.9696969696969697,0.9914761197206954,0.9989527876512533,0.02169460060921586,0.07482464663007041
