ablation,n_removed,test_auc,auc_drop_vs_base,removed_features
none,0,0.9238569195442643,0.0,
remove_top_1,1,0.9212318069406178,0.0026251126036465067,mean_intensity
remove_top_2,2,0.9005019049040166,0.023355014640247695,"mean_intensity,total_intensity"
remove_top_3,3,0.8958038603566691,0.028053059187595153,"mean_intensity,total_intensity,area_covered_ratio"
remove_top_5,5,0.7960014931664784,0.1278554263777859,"mean_intensity,total_intensity,area_covered_ratio,spot_count,density_spots_per_10k_px"
remove_top_8,8,0.7273677651818077,0.19648915436245662,"mean_intensity,total_intensity,area_covered_ratio,spot_count,density_spots_per_10k_px,intensity_variance,spot_area_std,spot_area_mean"
